,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Temp,Wind Speed
338,Praia da Vitoria,75,PT,1535086800,88,38.73,-27.07,69.8,69.8,8.3
339,San Patricio,20,PY,1535087931,95,-26.98,-56.83,65.6,65.6,5.17
340,Vestmanna,80,FO,1535086200,87,62.16,-7.17,48.2,48.2,10.29
341,Yarada,92,IN,1535088474,100,17.65,83.27,78.2,78.2,23.73
342,Sampang,8,ID,1535088474,82,-7.54,109.46,79.91,79.91,12.66
343,George,40,NG,1535086800,94,6.63,3.35,75.2,75.2,2.24
344,Crossville,1,US,1535086500,89,35.95,-85.03,62.6,58.55,2.48
345,Turan,0,RU,1535088475,74,52.15,93.92,63.35,63.35,2.59
346,Kimberley,0,ZA,1535087340,49,-28.74,24.76,46.4,46.4,9.17
347,Liebling,0,RO,1535086800,88,45.58,21.32,78.8,72.88,8.05
348,Nador,0,MA,1535086800,77,35.17,-2.93,69.8,66.11,3.36
349,Itarema,0,BR,1535088476,86,-2.92,-39.92,76.04,76.04,13.89
350,Mangit,20,UZ,1535085000,29,40.6,70.96,78.8,78.8,4.7
351,Sokoni,0,CD,1535088477,40,-12.89,28.78,66.77,66.77,6.73
352,Bireun,8,ID,1535088399,98,5.2,96.7,85.67,85.67,6.96
353,Puyo,12,EC,1535088477,90,-1.48,-78.0,54.71,54.71,2.15
354,Yanji,100,CN,1535088478,100,42.89,129.5,62.54,62.54,2.93
355,Mount Isa,0,AU,1535086800,18,-20.73,139.49,82.4,82.4,10.29
356,Egvekinot,68,RU,1535088478,65,66.32,-179.17,47.06,47.06,2.48
357,Sinnamary,80,GF,1535088478,100,5.38,-52.96,80.45,80.45,11.99
358,Axim,48,GH,1535088479,98,4.87,-2.24,75.5,75.5,9.08
359,Contamana,0,PE,1535088479,90,-7.35,-75.01,71.36,71.36,2.15
360,Cherskiy,0,RU,1535087905,73,68.75,161.3,44.09,44.09,8.41
361,La Ronge,90,CA,1535083200,61,55.1,-105.3,48.2,48.2,11.41
362,Palmer,0,AU,1535085000,24,-34.85,139.16,68.0,68.0,9.17
363,Homer,90,US,1535086380,93,59.64,-151.54,53.96,53.49,3.36
364,Salalah,90,OM,1535086200,100,17.01,54.1,73.4,73.4,3.36
365,Martinsburg,1,US,1535087400,96,39.46,-77.96,64.04,60.15,2.37
366,Matara,0,PE,1535087927,91,-13.74,-72.9,28.52,28.52,0.58
367,Hobyo,24,SO,1535088480,77,5.35,48.53,76.49,76.49,16.24
368,Jega,36,NG,1535088480,96,12.22,4.38,72.26,72.26,6.96
369,Mugango,88,TZ,1535088481,100,-1.69,33.7,65.78,65.78,4.61
370,Lodja,80,CD,1535088481,97,-3.52,23.6,68.66,68.66,3.27
371,Poronaysk,32,RU,1535087959,93,49.22,143.1,61.64,61.64,3.83
372,San Joaquin,24,PH,1535088481,75,10.59,122.14,85.04,85.04,9.42
373,Swift Current,1,CA,1535086800,63,50.29,-107.8,64.4,64.4,12.75
374,Svetlogorsk,75,RU,1535085000,62,53.14,59.15,53.6,53.6,17.9
375,Jardim,0,BR,1535088364,84,-21.48,-56.15,67.85,67.85,9.19
376,Quelimane,0,MZ,1535087896,73,-17.88,36.89,75.86,75.86,8.97
377,Rabat,40,MA,1535086800,93,34.02,-6.83,66.2,66.2,5.82
378,Provideniya,90,RU,1535085000,71,64.42,-173.23,51.8,51.8,6.71
379,Luanda,88,AO,1535083200,94,-8.83,13.24,68.0,68.0,3.36
380,Katherine,0,AU,1535085000,21,-14.47,132.26,89.6,89.6,3.36
381,Badarwas,92,IN,1535088484,96,24.97,77.57,78.2,78.2,9.64
382,Wakkanai,75,JP,1535086800,88,45.41,141.67,62.6,62.6,14.99
383,Opuwo,0,NA,1535088484,49,-18.06,13.84,48.32,48.32,2.37
384,Seymchan,36,RU,1535088485,64,62.93,152.39,58.22,58.22,3.6
385,Beloha,0,MG,1535088485,75,-25.17,45.06,69.47,69.47,4.5
386,Kabanjahe,40,ID,1535086800,38,3.1,98.49,93.2,93.2,11.41
387,Calbuco,20,CL,1535086800,100,-41.77,-73.13,32.0,32.0,8.52
388,Sungairaya,76,ID,1535088486,65,0.7,108.9,89.99,89.99,4.94
389,Ulaangom,36,MN,1535088486,44,49.98,92.07,63.17,63.17,2.71
390,Nome,1,US,1535086500,83,30.04,-94.42,78.98,77.2,5.95
391,Zolotukhino,0,RU,1535085000,87,52.08,36.38,50.0,50.0,2.24
392,Puerto Madryn,0,AR,1535088229,82,-42.77,-65.04,44.18,44.18,15.23
393,Bin Qirdan,0,TN,1535088486,74,33.14,11.22,76.76,76.76,2.59
394,Dobretu,0,RO,1535086800,77,44.5,23.95,68.0,68.0,10.29
395,Biaora,88,IN,1535088487,95,23.92,76.91,79.19,79.19,10.65
396,Tateyama,75,JP,1535086800,50,36.66,137.31,95.0,95.0,14.99
397,Kloulklubed,90,PW,1535086200,88,7.04,134.26,78.8,78.8,3.36
398,Gillette,1,US,1535086380,66,44.29,-105.5,59.0,59.0,8.05
399,Fomboni,0,KM,1535088488,100,-12.28,43.74,77.39,77.39,8.63
400,Mackay,90,CA,1535086800,93,53.65,-115.58,51.8,51.8,8.05
401,Rocha,88,UY,1535087928,97,-34.48,-54.34,45.62,45.62,3.6
402,Dormidontovka,88,RU,1535088489,75,47.77,134.91,76.04,76.04,7.4
403,Nakatunguru,75,TZ,1535086800,88,-2.12,33.07,69.8,69.8,11.41
404,Bukachacha,0,RU,1535088489,50,52.99,116.91,76.49,76.49,5.28
405,Orlik,32,RU,1535088489,83,52.51,99.83,52.91,52.91,2.37
406,Mount Gambier,0,AU,1535087896,68,-37.83,140.78,61.1,61.1,3.38
407,Jatibonico,8,CU,1535088490,95,21.94,-79.17,71.27,71.27,2.93
408,Susehri,0,TR,1535088490,65,40.16,38.09,65.42,65.42,2.59
409,Aksarka,48,RU,1535088490,54,66.56,67.8,65.6,65.6,6.85
410,Fukue,75,JP,1535086800,83,35.03,136.69,84.2,84.2,24.16
411,Dunedin,0,NZ,1535088397,91,-45.87,170.5,41.66,41.66,8.86
412,Wamba,92,CD,1535088491,98,2.14,27.99,66.41,66.41,2.93
413,Alugan,88,PH,1535088491,92,12.22,125.48,83.42,83.42,6.17
414,Katobu,92,ID,1535088491,87,-4.94,122.53,81.8,81.8,2.71
415,Leh,44,IN,1535088492,60,34.16,77.58,47.78,47.78,1.7
416,Bangkal,75,PH,1535086800,70,7.07,125.56,86.0,86.0,12.75
417,Kedrovyy,40,RU,1535085000,49,56.17,91.82,69.8,69.8,8.95
418,Tura,88,IN,1535088493,93,25.52,90.21,82.43,82.43,2.04
419,Shimoda,75,JP,1535086800,79,34.7,138.93,86.0,80.33,26.4
420,Ixtapa,75,MX,1535085780,100,20.71,-105.21,82.4,82.4,0.81
421,Arlit,0,NE,1535088494,45,18.74,7.39,78.74,78.74,7.85
422,Puerto Palomas,1,US,1535086380,81,31.78,-107.63,69.98,69.98,9.17
423,General Pico,64,AR,1535088494,51,-35.66,-63.75,46.7,46.7,10.09
424,Isangel,80,VU,1535088494,100,-19.55,169.27,72.8,72.8,16.8
425,Adrar,0,DZ,1535086800,28,27.87,-0.29,86.0,86.0,13.87
426,Shahr-e Kord,0,IR,1535085000,19,32.33,50.85,71.6,71.6,2.24
427,San Juan,75,PH,1535086800,84,14.6,121.03,86.0,86.0,20.8
428,La Solana,0,ES,1535088495,85,38.94,-3.24,57.86,57.86,2.59
429,Flinders,40,AU,1535086800,72,-34.58,150.85,59.0,59.0,10.29
430,Buraydah,0,SA,1535083200,39,26.33,43.97,82.4,82.4,5.82
431,Sabang,0,PH,1535088496,70,13.72,123.58,88.82,88.82,15.46
432,Gimli,44,CA,1535088408,82,50.63,-96.99,70.46,70.46,7.63
433,Yaan,92,NG,1535088497,98,7.38,8.57,69.92,69.92,7.18
434,Opelousas,1,US,1535087700,100,30.53,-92.08,78.08,74.71,7.74
435,Bandarbeyla,0,SO,1535087983,87,9.49,50.81,77.57,77.57,28.99
436,Along,44,IN,1535088497,74,28.17,94.8,82.16,82.16,1.81
437,Camacha,20,PT,1535086800,88,33.08,-16.33,73.4,71.83,6.93
438,Antofagasta,90,CL,1535086800,71,-23.65,-70.4,55.4,55.4,10.29
439,Khandyga,56,RU,1535088498,97,62.65,135.58,62.18,62.18,3.27
440,Erbaa,20,TR,1535086200,82,40.67,36.56,71.6,68.22,2.24
441,Tecoanapa,90,MX,1535082540,79,16.99,-99.26,84.2,84.2,3.04
442,Finschhafen,92,PG,1535088498,93,-6.6,147.85,74.87,74.87,2.93
443,Sobolevo,0,RU,1535088498,77,54.43,31.9,62.09,62.09,6.85
444,Lumsden,20,CA,1535086800,59,50.65,-104.86,66.2,66.2,13.87
445,Belen,0,TR,1535086200,70,36.49,36.19,84.2,84.2,13.87
446,Nizhniy Kuranakh,0,RU,1535088499,67,58.84,125.49,65.06,65.06,3.49
447,Coruripe,64,BR,1535088500,100,-10.12,-36.18,74.6,74.6,15.23
448,Yar-Sale,48,RU,1535087932,83,66.83,70.83,60.2,60.2,6.4
449,Namatanai,32,PG,1535088500,100,-3.66,152.44,80.45,80.45,3.6
450,Myitkyina,68,MM,1535088500,82,25.38,97.4,84.41,84.41,2.93
451,Mizdah,32,LY,1535088501,69,31.45,12.98,72.26,72.26,4.05
452,Leninskoye,40,RU,1535085000,63,54.82,82.85,66.2,66.2,8.95
453,Konza,75,KE,1535086800,87,-1.74,37.13,59.0,59.0,9.17
454,Richards Bay,92,ZA,1535088501,100,-28.77,32.06,60.92,60.92,3.71
455,Vila,40,IT,1535086500,94,45.18,8.4,68.0,66.78,4.7
456,Chapais,40,CA,1535086800,71,49.78,-74.86,55.4,55.4,5.82
457,Beringovskiy,36,RU,1535088502,100,63.05,179.32,50.12,50.12,10.54
458,Holme,92,GB,1535086200,93,53.7,-2.31,53.6,51.22,9.17
459,Bartica,20,GY,1535086800,94,6.41,-58.62,73.4,73.4,2.24
460,Dudinka,8,RU,1535088503,68,69.41,86.18,62.99,62.99,16.8
461,Mehamn,75,NO,1535086200,93,71.03,27.85,50.0,48.67,2.24
462,Mafeteng,0,LS,1535088504,80,-29.82,27.24,33.11,33.11,2.82
463,Yanam,92,IN,1535088504,100,16.73,82.22,77.3,77.3,13.0
464,Wanaka,24,NZ,1535088505,72,-44.7,169.14,39.41,39.41,2.04
465,Chaoyang,56,CN,1535088505,62,41.58,120.44,72.89,72.89,19.04
466,Byumba,76,RW,1535088505,96,-1.58,30.06,60.2,60.2,3.38
467,Atherton,92,GB,1535086200,93,53.52,-2.49,53.6,51.17,9.17
468,Porto Novo,0,BR,1535083200,72,-23.68,-45.44,64.4,64.4,2.59
469,Dospat,0,BG,1535088506,66,41.65,24.16,66.5,66.5,2.93
470,Srednekolymsk,8,RU,1535088507,65,67.46,153.71,56.15,56.15,5.17
471,Middelburg,0,ZA,1535088507,75,-25.77,29.46,53.9,53.9,5.73
472,Kupang,40,ID,1535086800,52,-10.16,123.6,87.8,87.8,14.99
473,Gangapur,75,IN,1535086800,78,19.7,75.01,77.0,77.0,15.79
474,Los Lunas,1,US,1535086500,60,34.81,-106.76,73.04,70.93,9.17
475,Mantua,20,IT,1535086800,82,45.16,10.79,68.0,67.39,4.7
476,Hay River,75,CA,1535086800,75,60.82,-115.79,46.4,46.4,4.7
477,Gorom-Gorom,48,BF,1535088509,86,14.45,-0.24,75.05,75.05,7.74
478,Chekalin,0,RU,1535088509,62,54.1,36.24,63.62,63.62,4.94
479,Panguna,68,PG,1535088509,85,-6.32,155.48,79.55,79.55,2.59
480,Santa Barbara,1,US,1535086620,76,34.42,-119.7,69.98,65.79,8.05
481,Karpogory,92,RU,1535088510,100,64.0,44.44,51.92,51.92,4.5
482,Amot,75,NO,1535086200,93,59.57,7.99,53.6,53.6,3.36
483,Emba,20,CY,1535086800,51,34.81,32.42,80.6,80.6,6.93
484,Abha,0,SA,1535083200,40,18.22,42.5,73.4,73.4,2.59
485,Salihli,0,TR,1535088511,44,38.48,28.15,75.5,75.5,2.37
486,Tsurugi,40,JP,1535086800,52,33.97,134.05,93.2,88.3,18.34
487,Njombe,80,TZ,1535088512,71,-9.34,34.77,58.94,58.94,5.61
488,San Cristobal,40,EC,1535086800,87,-0.39,-78.55,42.8,42.8,2.24
489,West Wendover,1,US,1535086560,3,40.74,-114.07,71.96,71.96,5.82
490,Divnomorskoye,0,RU,1535088513,49,44.5,38.13,80.45,80.45,4.61
491,Laguna,20,MX,1535087954,94,27.52,-110.01,77.57,77.57,2.37
492,Kribi,92,CM,1535088513,91,2.94,9.91,74.24,74.24,3.38
493,Saint-Avertin,90,FR,1535086800,87,47.36,0.74,59.0,58.24,3.36
494,Hofn,44,IS,1535087931,100,64.25,-15.21,46.61,46.61,12.88
495,Anadyr,0,RU,1535085000,66,64.73,177.51,55.4,55.4,6.71
496,Ukiah,1,US,1535086560,69,39.15,-123.21,62.06,62.06,1.92
497,Grants,1,US,1535086500,70,35.15,-107.85,64.04,64.04,3.36
498,Manjacaze,44,MZ,1535088515,80,-24.71,33.88,72.17,72.17,7.07
499,Dhankuta,64,NP,1535088516,86,26.98,87.34,77.12,77.12,1.7
500,Maturin,0,VE,1535088516,89,9.75,-63.18,75.59,75.59,4.16
501,Lang Son,56,VN,1535088516,79,21.83,106.73,87.02,87.02,0.81
502,Magadan,90,RU,1535085000,72,59.56,150.8,66.2,66.2,4.47
503,Tautira,75,PF,1535086800,65,-17.73,-149.15,78.8,78.8,3.36
504,Manikpur,80,IN,1535088517,97,25.07,81.1,81.53,81.53,6.73
505,Cunen,44,GT,1535088517,100,15.34,-91.03,58.76,58.76,0.58
506,Shaunavon,0,CA,1535088518,36,49.65,-108.41,62.72,62.72,8.63
507,Aleksandrov Gay,0,RU,1535088518,37,50.14,48.57,70.1,70.1,4.72
508,Pisco,90,PE,1535086800,77,-13.71,-76.2,62.6,62.6,3.36
509,Gizo,0,IL,1535086200,74,31.8,34.94,80.6,80.6,3.36
510,Keti Bandar,64,PK,1535088519,97,24.14,67.45,80.81,80.81,22.28
511,Purranque,20,CL,1535086800,85,-40.91,-73.16,32.0,32.0,2.37
512,Baoro,92,CF,1535088519,98,5.69,15.95,66.59,66.59,4.38
513,Camp Verde,1,US,1535086620,90,34.56,-111.85,64.94,61.43,6.93
514,Quesnel,90,CA,1535086800,62,52.98,-122.49,53.6,53.6,2.93
515,Sao Sebastiao,12,BR,1535088520,88,-3.15,-58.36,76.31,76.31,1.03
516,Maumere,0,ID,1535087959,92,-8.63,122.22,84.14,84.14,3.38
517,Imphal,75,IN,1535086800,94,24.8,93.94,77.0,77.0,8.05
518,Sainte-Marie,1,CA,1535087760,100,46.45,-71.03,60.8,56.43,5.73
519,Bubaque,88,GW,1535087948,100,11.28,-15.83,78.02,78.02,3.15
520,Olinda,0,EC,1535083200,77,-2.03,-79.75,69.8,69.8,6.93
521,Honningsvag,75,NO,1535082600,93,70.98,25.97,48.2,48.2,9.17
522,Kochkurovo,0,RU,1535088522,43,54.03,45.43,65.51,65.51,6.17
523,Encarnacion,0,PY,1535083200,82,-27.34,-55.87,68.0,68.0,5.82
524,Ulladulla,40,AU,1535086800,72,-35.36,150.48,59.0,59.0,10.29
525,Te Anau,12,NZ,1535088523,93,-45.41,167.72,39.86,39.86,2.37
526,Dalvik,75,SE,1535086200,100,57.79,14.13,59.0,59.0,6.93
527,Bonthe,92,SL,1535088523,98,7.53,-12.5,75.41,75.41,4.05
528,Banda Aceh,44,ID,1535088302,72,5.56,95.32,83.96,83.96,8.41
529,Dawei,92,MM,1535088524,100,14.07,98.19,72.89,72.89,2.15
530,Porto Walter,0,BR,1535088524,88,-8.27,-72.74,70.28,70.28,2.04
531,Camargo,88,MX,1535087952,31,27.69,-105.17,79.46,79.46,4.72
532,Anjozorobe,20,MG,1535085540,100,-18.4,47.88,51.8,51.8,3.36
533,Caborca,76,MX,1535088525,96,30.58,-111.1,67.76,67.76,2.71
